block,cate,correct,form_response,response_time_resp
2,Other,1,1,467
3,Young,1,1,652
3,Young,1,1,711
3,self,1,1,1021
3,Other,1,1,505
3,self,1,1,494
3,self,1,1,541
3,Old,1,1,436
3,Old,1,1,547
3,Other,0,1,560
3,self,1,1,531
3,self,1,1,567
3,Old,1,1,532
3,Old,1,1,731
3,self,1,1,645
3,Old,1,1,598
3,Other,0,1,546
3,Young,1,1,429
3,self,1,1,818
3,Other,1,1,481
3,Old,1,1,544
3,Young,1,1,500
3,Old,0,1,942
3,Other,1,1,1043
3,Young,1,1,528
3,Other,1,1,651
3,self,1,1,624
3,Other,1,1,1124
3,Other,1,1,659
3,Other,1,1,730
3,self,1,1,552
3,Young,1,1,542
3,Old,1,1,603
3,Young,1,1,574
3,Other,1,1,497
3,Young,1,1,521
3,Young,1,1,581
3,Other,1,1,518
3,Other,0,1,498
3,Young,1,1,544
3,Old,1,1,538
3,Young,1,1,615
3,self,1,1,487
3,self,0,1,803
3,self,1,1,456
3,Other,1,1,527
3,self,1,1,465
3,Young,1,1,453
3,Other,0,1,453
3,Old,1,1,819
3,Old,1,1,585
3,Other,1,1,577
3,Other,1,1,522
3,self,1,1,648
3,Young,1,1,540
3,Old,1,1,540
3,Old,1,1,694
3,self,1,1,558
3,self,0,1,452
3,Other,1,1,445
3,Old,0,1,628
3,Young,1,1,584
3,Young,1,1,560
3,self,0,1,491
3,Young,1,1,579
3,Old,1,1,577
3,Old,1,1,700
3,Old,1,1,849
3,Young,1,1,746
3,Old,0,1,909
3,self,1,1,613
3,Other,0,1,684
3,Young,1,1,444
4,Other,1,1,894
4,Other,1,1,747
4,self,1,1,1774
4,self,0,1,1804
4,self,1,1,1825
4,self,1,1,884
4,Other,1,1,549
4,Other,1,1,786
4,self,1,1,581
4,Other,1,1,348
4,self,1,1,1096
4,self,1,1,621
4,Other,1,1,594
4,self,1,1,685
4,self,1,1,608
4,self,1,1,533
4,self,1,1,673
4,self,1,1,513
4,Other,0,1,603
4,Other,0,1,457
4,Other,1,1,473
4,self,1,1,557
4,self,1,1,467
4,Other,1,1,521
4,self,1,1,509
4,self,1,1,682
4,self,1,1,477
4,Other,0,1,435
4,Other,1,1,631
4,Other,1,1,620
4,self,1,1,1008
4,Other,1,1,478
4,Other,1,1,537
4,Other,1,1,486
4,Other,1,1,528
4,Other,1,1,547
5,Old,0,1,1176
5,self,0,1,1326
5,Other,1,1,781
5,Old,1,1,2070
5,Young,1,1,1121
5,Other,1,1,1557
5,Old,1,1,1242
5,Other,1,1,1191
5,Old,1,1,2305
5,Young,1,1,2198
5,Young,1,1,908
5,self,1,1,1318
5,Other,1,1,939
5,Old,1,1,1307
5,Young,1,1,1928
5,Other,0,1,1606
5,self,1,1,743
5,Other,1,1,669
5,Other,1,1,718
5,Old,0,1,1448
5,Other,1,1,568
5,Other,1,1,584
5,Other,1,1,526
5,Young,1,1,1445
5,Other,1,1,907
5,Young,1,1,710
5,Other,1,1,778
5,Other,1,1,414
5,self,1,1,669
5,Young,1,1,560
5,Young,1,1,546
5,self,1,1,690
5,Young,1,1,659
5,Other,1,1,827
5,Old,0,1,604
5,Old,1,1,1816
5,Old,1,1,558
5,self,0,1,598
5,Young,1,1,858
5,Other,0,1,891
5,Old,1,1,735
5,Young,1,1,521
5,self,1,1,690
5,Young,1,1,1439
5,Old,1,1,752
5,self,1,1,963
5,self,1,1,592
5,Other,1,1,646
5,Old,1,1,1482
5,self,1,1,1052
5,Young,1,1,596
5,self,1,1,670
5,self,1,1,600
5,Old,0,1,544
5,Young,1,1,677
5,Young,1,1,600
5,Young,1,1,628
5,self,1,1,1782
5,Other,1,1,534
5,self,1,1,554
5,self,1,1,739
5,Young,1,1,505
5,self,1,1,508
5,self,1,1,612
5,Old,0,1,584
5,Young,1,1,554
5,Old,1,1,708
5,Old,1,1,508
5,self,0,1,952
5,Old,1,1,613
5,Other,1,1,654
5,Old,1,1,1338
